ClinicName,Street,HouseNumber,Postcode,City,Phone,Email,Website,Latitude,Longitude,GoogleMaps
Annett & Roger Traboulsi,Wilmersdorfer Straße,52,10627,Berlin,+49 30 323 7578,,,52.5088896,13.3057023,"https://www.google.com/maps/search/?api=1&query=52.5088896,13.3057023"
Annett Heppner,,,,Berlin,+49 331 7404630,,https://kfo-heppner.de/,52.3916068,13.0926228,"https://www.google.com/maps/search/?api=1&query=52.3916068,13.0926228"
Annett Paszkier,,,,Berlin,+49303958902,,,52.5286923,13.3401723,"https://www.google.com/maps/search/?api=1&query=52.5286923,13.3401723"
Annette Magiera,,,,Berlin,+49 30 4617095,,,52.5516269,13.3678031,"https://www.google.com/maps/search/?api=1&query=52.5516269,13.3678031"
Annette Voeste,Müllerstraße,36,13353,Berlin,,,https://praxis-voeste.de,52.5492054,13.3547877,"https://www.google.com/maps/search/?api=1&query=52.5492054,13.3547877"
Antje Brandt,Alt-Rudow,64-66,12355,Berlin,+49 30 663 20 19,,,52.4172674,13.4956837,"https://www.google.com/maps/search/?api=1&query=52.4172674,13.4956837"
Apodontos MVZ,Kirchplatz,1,13591,Berlin,+49303662352,,,52.5408259,13.1459941,"https://www.google.com/maps/search/?api=1&query=52.5408259,13.1459941"
Astrid Richter,Zingster Straße,1,,Berlin,,,,52.563543,13.5038732,"https://www.google.com/maps/search/?api=1&query=52.563543,13.5038732"
Atef Eltiri,Bernulfstraße,7,12524,Berlin,+49 30 67 98 97 88,,,52.413944,13.5380252,"https://www.google.com/maps/search/?api=1&query=52.413944,13.5380252"
Awerkow,,,,Berlin,+49 30 3916725,,https://www.zahnarzt-awerkow.de,52.5226002,13.3311365,"https://www.google.com/maps/search/?api=1&query=52.5226002,13.3311365"
B&S Dentallabor GmbH,Schulstraße,15,15366,Neuenhagen bei Berlin,+49 3342 80548,,,52.5206898,13.6945396,"https://www.google.com/maps/search/?api=1&query=52.5206898,13.6945396"
B. Fadel,Berliner Straße,18,10715,Berlin,,,https://www.berliner-kieferorthopaede.de/,52.4869395,13.3278529,"https://www.google.com/maps/search/?api=1&query=52.4869395,13.3278529"
B. P. Wylutzki;Ariane Bauch,Lepsiusstraße,54,12163,Berlin,,,https://www.zaehne.org/,52.4613881,13.3176156,"https://www.google.com/maps/search/?api=1&query=52.4613881,13.3176156"
BAG Zahnärzte Dr. Bähre & Stärz,Paul-Robeson-Straße,28,,Berlin,+49304440606,,,52.5527524,13.4041489,"https://www.google.com/maps/search/?api=1&query=52.5527524,13.4041489"
"Barbara Kistner, Anne Speda, Dr. Ali Mokabberi",,,,Berlin,+4930 413 5022,,https://meindentist.de/reinickendorf/,52.5706899,13.3301115,"https://www.google.com/maps/search/?api=1&query=52.5706899,13.3301115"
Bastian Pandura,Wiesbadener Straße,3,12161,Berlin,+49 30 8593226,,http://www.zahnarztpraxis-pandura.de/,52.4717014,13.3264447,"https://www.google.com/maps/search/?api=1&query=52.4717014,13.3264447"
Beate Bünger,,,,Berlin,,,,52.5547909,13.3438892,"https://www.google.com/maps/search/?api=1&query=52.5547909,13.3438892"
Berlin Smile,Heidestraße,14,,Berlin,,,,52.5318526,13.3673022,"https://www.google.com/maps/search/?api=1&query=52.5318526,13.3673022"
berliner MundArt,Hauptstraße,23-24,10827,Berlin,,,https://www.berliner-mundart.de/,52.4860883,13.3554596,"https://www.google.com/maps/search/?api=1&query=52.4860883,13.3554596"
Berliner Zahnzentrum,Förster-Funke-Allee,104,14532,Kleinmachnow,+49 30 91608684,,http://www.berliner-zahnzentrum.de,52.4044129,13.2200135,"https://www.google.com/maps/search/?api=1&query=52.4044129,13.2200135"
Bernalin Kaya,Heylstraße,33,10825,Berlin,+49 30 78891144,info@zahnboegen.de,https://www.zahnboegen.de,52.4807356,13.3461292,"https://www.google.com/maps/search/?api=1&query=52.4807356,13.3461292"
Bernd Jaeckel,Cranachstraße,52,12157,Berlin,+49 30 8558047,info@zahnarzt-jaeckel.de,http://zahnarzt-jaeckel.de/,52.4669173,13.3424769,"https://www.google.com/maps/search/?api=1&query=52.4669173,13.3424769"
Berodent,Handjerystraße,3,12159,Berlin,,,https://berodent-kfo.de/,52.4763553,13.3324646,"https://www.google.com/maps/search/?api=1&query=52.4763553,13.3324646"
Berodent Zahnärzte,Schwedenstraße,1,13357,Berlin,+49 30 4624014,sws@berodent.de,https://berodent.de/,52.5543456,13.3769414,"https://www.google.com/maps/search/?api=1&query=52.5543456,13.3769414"
"Bianca Wark, Chung-U Nam",Rheinstraße,35,12161,Berlin,,,https://zahnhimmel.de/,52.4661965,13.3293127,"https://www.google.com/maps/search/?api=1&query=52.4661965,13.3293127"
Biss45,,,,Berlin,+4930959989320,,https://biss45.de/,52.5118145,13.3045382,"https://www.google.com/maps/search/?api=1&query=52.5118145,13.3045382"
Blümich & Collegen,Schulzendorfer Straße,106,13503,Berlin,+49 30 4313724,,https://bluemich-collegen.de/,52.6135801,13.2261335,"https://www.google.com/maps/search/?api=1&query=52.6135801,13.2261335"
Boris Shrage & Kollegen,,,,Berlin,,,,52.500264,13.3255177,"https://www.google.com/maps/search/?api=1&query=52.500264,13.3255177"
Boris Wais,Hohenzollerndamm,187,10713,Berlin,,,,52.4915965,13.3187828,"https://www.google.com/maps/search/?api=1&query=52.4915965,13.3187828"
Buenger und Meißner Zahnheilkunde,Georg-Hermann-Allee,26,14469,Potsdam,+49 331 979 25577,info@potsdam-zahnheilkunde.de,https://www.potsdam-zahnheilkunde.de/,52.4145737,13.0505026,"https://www.google.com/maps/search/?api=1&query=52.4145737,13.0505026"
Burkhard Schilke,,,,Berlin,,,,52.5245823,13.6979483,"https://www.google.com/maps/search/?api=1&query=52.5245823,13.6979483"
Böhme Andreas Dr. Fachpraxis für Kieferorthopädie,Müggelseedamm,208,12587,Berlin,+493064092028,,http://www.praxis-drboehme.de/,52.4462907,13.6294432,"https://www.google.com/maps/search/?api=1&query=52.4462907,13.6294432"
Bülow 90 Die Zahnärzte,Bülowstraße,90,10783,Berlin,+49 30 2644040,,https://www.buelow90.de/,52.4984137,13.3604227,"https://www.google.com/maps/search/?api=1&query=52.4984137,13.3604227"
Carola Mayerhofer-Djordjevic,,,,Berlin,,,,52.5027254,13.3887987,"https://www.google.com/maps/search/?api=1&query=52.5027254,13.3887987"
Casa Dentalis,,,,Berlin,,,,52.4778249,13.2819123,"https://www.google.com/maps/search/?api=1&query=52.4778249,13.2819123"
Caterina Vogel,Königsberger Straße,43,,Berlin,+49 30 7722080,,https://www.za-vogel.de/,52.4283531,13.3239274,"https://www.google.com/maps/search/?api=1&query=52.4283531,13.3239274"
CenDenta,Elsterwerdaer Platz,3,12683,Berlin,+49 30 21960970,,https://cendenta.de/,52.5049752,13.558268,"https://www.google.com/maps/search/?api=1&query=52.5049752,13.558268"
Christian Koch,Sybelstraße,69,10629,Berlin,,,https://zahnaerzte-berlin-charlottenburg.de/,52.5019572,13.3126145,"https://www.google.com/maps/search/?api=1&query=52.5019572,13.3126145"
Christiane Kannenberg,Grunewaldstraße,27,12165,Berlin,,,https://www.zahnarztpraxis-berlin-steglitz.de/,52.4601619,13.309956,"https://www.google.com/maps/search/?api=1&query=52.4601619,13.309956"
Christiane Weigmann,Dottistraße,20,10367,Berlin,,,,52.5143585,13.4821504,"https://www.google.com/maps/search/?api=1&query=52.5143585,13.4821504"
Christina Klein,Kienitzer Straße,20,12053,Berlin,+49 30 6872280,,https://www.zahnarztpraxisberlin.de/christina-klein-zahnarztpraxis,52.4773458,13.4358118,"https://www.google.com/maps/search/?api=1&query=52.4773458,13.4358118"
Christine Kekert,Heinrich-Mann-Allee,66,14478,Potsdam,+49 331 550 4466,,,52.3772948,13.0826575,"https://www.google.com/maps/search/?api=1&query=52.3772948,13.0826575"
Christoph Kathke,Innsbrucker Straße,35,10825,Berlin,,,,52.4801701,13.3434374,"https://www.google.com/maps/search/?api=1&query=52.4801701,13.3434374"
Cinderella Kolarikal,Rochstraße,1,10178,Berlin,+49 30 2821385,,https://www.dentists-zahnarzt-berlin.de/,52.5243777,13.4075593,"https://www.google.com/maps/search/?api=1&query=52.5243777,13.4075593"
City Dent,Hedemannstraße,13,10969,Berlin,,,http://www.city-dent.com,52.5030952,13.3902287,"https://www.google.com/maps/search/?api=1&query=52.5030952,13.3902287"
Claessen,,,,Berlin,+49 33056 436876,info@zahnarztpraxis-sonnengarten.de,http://www.zahnarztpraxis-sonnengarten.de,52.6312925,13.3230155,"https://www.google.com/maps/search/?api=1&query=52.6312925,13.3230155"
Claudia Döring,,,,Berlin,+49 30 4921902,,,52.5608225,13.3719767,"https://www.google.com/maps/search/?api=1&query=52.5608225,13.3719767"
Claudia Ruppert-Münnich,,,,Berlin,,,,52.3868681,13.4018743,"https://www.google.com/maps/search/?api=1&query=52.3868681,13.4018743"
Claudius Kubina,,,,Berlin,,,,52.3863666,13.3992281,"https://www.google.com/maps/search/?api=1&query=52.3863666,13.3992281"
Corinna Kant,Sigmaringer Straße,6,10713,Berlin,,,http://www.zahnarztpraxis-kant.de/,52.4887689,13.3197283,"https://www.google.com/maps/search/?api=1&query=52.4887689,13.3197283"
Cuculescu & Partner,,,,Berlin,+49 30 62730181,info@zahnarzt-cuculescu.de,http://zahnarzt-cuculescu.de/,52.4732964,13.4279055,"https://www.google.com/maps/search/?api=1&query=52.4732964,13.4279055"
D. Gibbels,,,,Berlin,+49 3322 239591,,,52.5589749,13.0906921,"https://www.google.com/maps/search/?api=1&query=52.5589749,13.0906921"
D. Naumann,,,,Berlin,,,,52.5501019,13.3850506,"https://www.google.com/maps/search/?api=1&query=52.5501019,13.3850506"
Dagmar Monse,,,,Berlin,+49 30 4272633,,,52.522482,13.4498403,"https://www.google.com/maps/search/?api=1&query=52.522482,13.4498403"
Daniel Babel,Liebenwalder Straße,32,13347,Berlin,+49 30 4562205,,,52.5519828,13.3584743,"https://www.google.com/maps/search/?api=1&query=52.5519828,13.3584743"
David Stolyar,,,,Berlin,,,,52.5091371,13.2980435,"https://www.google.com/maps/search/?api=1&query=52.5091371,13.2980435"
Den-Tina,,,,Berlin,,,,52.4487096,13.3534866,"https://www.google.com/maps/search/?api=1&query=52.4487096,13.3534866"
Denspoint,Calvinstraße,2,10557,Berlin,+49 30 391 76 44,,https://www.denspoint.de,52.5237144,13.3519128,"https://www.google.com/maps/search/?api=1&query=52.5237144,13.3519128"
Dent 95,Schloßstraße,95,12163,Berlin,,,,52.4584189,13.3225704,"https://www.google.com/maps/search/?api=1&query=52.4584189,13.3225704"
Dent GmbH Zahntechnisches Labor,,,,Berlin,,,,52.5513733,13.4414709,"https://www.google.com/maps/search/?api=1&query=52.5513733,13.4414709"
Dentaffin,Belziger Straße,69,10823,Berlin,+49 30 5099777,,https://www.dentaffin.de,52.4848126,13.3465288,"https://www.google.com/maps/search/?api=1&query=52.4848126,13.3465288"
Dental 21,Neumannstraße,13,13189,Berlin,,,https://www.dental21-pankow.de/,52.5609416,13.4225578,"https://www.google.com/maps/search/?api=1&query=52.5609416,13.4225578"
Dental 21,Uhlandstraße,95,10717,Berlin,,,,52.4866468,13.3221575,"https://www.google.com/maps/search/?api=1&query=52.4866468,13.3221575"
Dental Care,Marburger Straße,12,10789,Berlin,,,,52.5020221,13.3365049,"https://www.google.com/maps/search/?api=1&query=52.5020221,13.3365049"
dental total,Zabel-Krüger-Damm,17,13469,Berlin,,,https://www.dentaltotal.de,52.6090053,13.327105,"https://www.google.com/maps/search/?api=1&query=52.6090053,13.327105"
Dental21 Berlin Friedrichshain,Eldenaer Straße,26,10247,Berlin,+493083797905,,https://www.dental21-friedrichshain.de/,52.5201654,13.4683999,"https://www.google.com/maps/search/?api=1&query=52.5201654,13.4683999"
Dentallabor Daniel Rödel,,,,Berlin,+49 30 64083792,,https://www.dentallabor-roedel.de/,52.5078757,13.4978308,"https://www.google.com/maps/search/?api=1&query=52.5078757,13.4978308"
dentalSTUDIO Friedenau,Hackerstraße,6,12161,Berlin,+49 30 8511112,,https://www.dentalstudio-friedenau.de/,52.4660494,13.3243342,"https://www.google.com/maps/search/?api=1&query=52.4660494,13.3243342"
Dentalzentrum Grünau,,,,Berlin,+49 30 220117060,kontakt@dentalzentrum-gruenau.de,,52.41246,13.5730998,"https://www.google.com/maps/search/?api=1&query=52.41246,13.5730998"
Dentalzentrum Mariendorf,Birnhornweg,5,12107,Berlin,,,http://wp.dentalzentrum-mariendorf.de/,52.4239807,13.3946052,"https://www.google.com/maps/search/?api=1&query=52.4239807,13.3946052"
Dentalzentrum Pankow,,1,13187,Berlin,,,http://dentalzentrum-pankow.de/,52.5673453,13.4109403,"https://www.google.com/maps/search/?api=1&query=52.5673453,13.4109403"
Dentalzentrum Plus,Wilmersdorfer Straße,112,10627,Berlin,+49308560940,,https://dentalzentrumplus.de/standorte/charlottenburg/,52.5069808,13.3068568,"https://www.google.com/maps/search/?api=1&query=52.5069808,13.3068568"
Dentalzentrum Plus,,,,Berlin,+49 30 56 49 28 61,Info-mz@dentalzentrum.de,https://dentalzentrumplus.de/standorte/marzahn/,52.5191243,13.5649063,"https://www.google.com/maps/search/?api=1&query=52.5191243,13.5649063"
dentalzentrum plus,Potsdamer Straße,160,10783,Berlin,,info-sb@dentalzentrumplus.de,https://dentalzentrumplus.de/,52.4961274,13.3609232,"https://www.google.com/maps/search/?api=1&query=52.4961274,13.3609232"
dentaxx Britz,Britzer Damm,116,12347,Berlin,+49 30 6064053,praxis-britz@dentaxx.de,https://zahnarzt-praxis-britz.de,52.4524085,13.4381439,"https://www.google.com/maps/search/?api=1&query=52.4524085,13.4381439"
dentes,Richard-Wagner-Straße,50,10585,Berlin,+49 30 34357594,,https://dentality-lab.de/,52.5161827,13.3070216,"https://www.google.com/maps/search/?api=1&query=52.5161827,13.3070216"
Dentisten Berlin,Karl-Marx-Straße,124,12043,Berlin,+49 30 6871783,,https://www.dentistenberlin.de/,52.4778329,13.4380264,"https://www.google.com/maps/search/?api=1&query=52.4778329,13.4380264"
Dentisten Berlin Seeburg,Alte Dorfstraße,15,14624,Dallgow-Döberitz,,,https://www.dentistenberlin.de/seeburg,52.5090168,13.1205491,"https://www.google.com/maps/search/?api=1&query=52.5090168,13.1205491"
Dentologicum,,,,Berlin,,,,52.563641,13.3639866,"https://www.google.com/maps/search/?api=1&query=52.563641,13.3639866"
DentZ,Tempelhofer Damm,143,12099,Berlin,+49 30 2647972600,,http://dentz-berlin.de,52.466306,13.3859476,"https://www.google.com/maps/search/?api=1&query=52.466306,13.3859476"
Detlef Bruhn,Beckerstraße,10,12157,Berlin,+49 30 8551340,,https://drbruhn.de/,52.4670669,13.3394142,"https://www.google.com/maps/search/?api=1&query=52.4670669,13.3394142"
Dezsö Sztankay,Bundesallee,92,12161,Berlin,,,https://www.dr-sztankay.de/,52.4672959,13.3279184,"https://www.google.com/maps/search/?api=1&query=52.4672959,13.3279184"
Dhentica,,,,Berlin,,,,52.4327892,13.5355561,"https://www.google.com/maps/search/?api=1&query=52.4327892,13.5355561"
Die Drei Zahnärzte,Skalitzer Straße,137,10999,Berlin,+49 30 69005528,team@diedreizahnaerzte.berlin,https://diedreizahnaerzte.berlin,52.4995876,13.4182751,"https://www.google.com/maps/search/?api=1&query=52.4995876,13.4182751"
Die Praxis,Pfalzburger Straße,45,10717,Berlin,,,,52.4897039,13.3214646,"https://www.google.com/maps/search/?api=1&query=52.4897039,13.3214646"
Die Zahnarztpraxis,Jagowstraße,24,10555,Berlin,,,,52.5242629,13.3343389,"https://www.google.com/maps/search/?api=1&query=52.5242629,13.3343389"
Die Zahngalerie,Charlottenstraße,42,14467,Potsdam,+49 331 237 07520,praxis@die-zahngalerie.de,https://www.die-zahngalerie.de/,52.3997583,13.0590383,"https://www.google.com/maps/search/?api=1&query=52.3997583,13.0590383"
Die Zahnärzte,Turmstraße,72,10551,Berlin,+49 30 3916285,info@zahn-arzt.de,https://www.zahn-arzt.de,52.5265716,13.3324908,"https://www.google.com/maps/search/?api=1&query=52.5265716,13.3324908"
Dieter Voit,Detmolder Straße,64a,10715,Berlin,,,,52.4785688,13.3265926,"https://www.google.com/maps/search/?api=1&query=52.4785688,13.3265926"
Dimitrij Lomtev,,,,Berlin,,,,52.5519184,13.4015087,"https://www.google.com/maps/search/?api=1&query=52.5519184,13.4015087"
Dipl. Med. Christiane Lechler,Lemkestraße,188,12623,Berlin,,,http://www.zapclechler.de/,52.5162793,13.6245678,"https://www.google.com/maps/search/?api=1&query=52.5162793,13.6245678"
Dipl. Stom. Henning Schmidt,,,,Berlin,+49 3322 400522,,,52.573336,13.0919024,"https://www.google.com/maps/search/?api=1&query=52.573336,13.0919024"
Dipl. Stom. Katrin Köhler,Konrad-Wolf-Allee,57,14480,Potsdam,,,,52.3669759,13.1369816,"https://www.google.com/maps/search/?api=1&query=52.3669759,13.1369816"
Dipl.-Med. B. Spuhle,Teterower Ring,41,12619,Berlin,+49 30 5622029,,,52.5218512,13.5864362,"https://www.google.com/maps/search/?api=1&query=52.5218512,13.5864362"
Dipl.-Stom. Christine Barz,Falkenberger Straße,27,13088,Berlin,+49 30 9269475,post@za-barz.de,https://www.za-barz.de/,52.555079,13.4754654,"https://www.google.com/maps/search/?api=1&query=52.555079,13.4754654"
Dipl.-Stom. Georgij Jakovenko,,,,Berlin,+49 30 51588580,,,52.4977285,13.5097608,"https://www.google.com/maps/search/?api=1&query=52.4977285,13.5097608"
Dipl.-Stom. Heidrun Eschner,Berliner Allee,82,13088,Berlin,+49 30 9246064,praxis@eschner-mansfeld.de,https://eschner-mansfeld.de,52.5492347,13.4560554,"https://www.google.com/maps/search/?api=1&query=52.5492347,13.4560554"
Dipl.-Stom. Petra Riley Fachzahnärztin,Sternstraße,63a,14480,Potsdam,+49 331 616471,,,52.3654631,13.1285639,"https://www.google.com/maps/search/?api=1&query=52.3654631,13.1285639"
Dipl.-Stom. Rolf Jammer,,,,Berlin,,,,52.5814655,13.3973766,"https://www.google.com/maps/search/?api=1&query=52.5814655,13.3973766"
Dipl.-Stom. Sabine Mansfeld,Berliner Allee,82,13088,Berlin,+49 30 9246064,praxis@eschner-mansfeld.de,https://eschner-mansfeld.de,52.5492363,13.4560657,"https://www.google.com/maps/search/?api=1&query=52.5492363,13.4560657"
Dipl.-Stomat. Sylvia Hinzmann,,,,Berlin,+49 30 4423857,,,52.5386049,13.4178703,"https://www.google.com/maps/search/?api=1&query=52.5386049,13.4178703"
Dirk Scheve,Nestorstraße,4,10711,Berlin,,,https://drscheve.de/,52.4994761,13.3000569,"https://www.google.com/maps/search/?api=1&query=52.4994761,13.3000569"
Doc T,Vorbergstraße,8,10823,Berlin,,,http://www.doct-zahnarzt.de/,52.4893637,13.355248,"https://www.google.com/maps/search/?api=1&query=52.4893637,13.355248"
Donat Krösche,,,,Berlin,,,,52.649442,13.5162467,"https://www.google.com/maps/search/?api=1&query=52.649442,13.5162467"
Dorina Diebow,Normannenstraße,38,10367,Berlin,+49 30 5532366,,,52.5162747,13.4820626,"https://www.google.com/maps/search/?api=1&query=52.5162747,13.4820626"
Dr. -medic stom Marion Grein,Lauffener Straße,5,12459,Berlin,,,,52.4598747,13.5203682,"https://www.google.com/maps/search/?api=1&query=52.4598747,13.5203682"
Dr. A. Hessberger,Oranienstraße,53,10969,Berlin,,,,52.5032559,13.4125501,"https://www.google.com/maps/search/?api=1&query=52.5032559,13.4125501"
Dr. Alarashi,Erkstraße,1A,12043,Berlin,,,,52.4808181,13.4357437,"https://www.google.com/maps/search/?api=1&query=52.4808181,13.4357437"
Dr. Andrea Bloching,Bundesallee,90,12161,Berlin,+49 30 8524239,,https://friedenau-zahnarzt.de,52.4676701,13.3280318,"https://www.google.com/maps/search/?api=1&query=52.4676701,13.3280318"
Dr. Angela Petzold,Florastraße,20,12623,Berlin,,,,52.5185066,13.621748,"https://www.google.com/maps/search/?api=1&query=52.5185066,13.621748"
Dr. Anna Kokocinski,Thaerstraße,43,10249,Berlin,+49 30 4225960,,https://www.kieferorthopaedie-friedrichshain.de/,52.5200503,13.4538799,"https://www.google.com/maps/search/?api=1&query=52.5200503,13.4538799"
Dr. Annegret Presting-Koite,Gierkeplatz,12,10585,Berlin,+49 30 3418585,,,52.5176859,13.3027135,"https://www.google.com/maps/search/?api=1&query=52.5176859,13.3027135"
Dr. Annette Klose,Bizetstraße,108,13088,Berlin,+4930 960 698 48,,,52.5491605,13.4608105,"https://www.google.com/maps/search/?api=1&query=52.5491605,13.4608105"
Dr. Annette Seewaldt,,,,Berlin,,,,52.4891546,13.3595406,"https://www.google.com/maps/search/?api=1&query=52.4891546,13.3595406"
Dr. Antje Lindhammer,,,,Berlin,,,https://www.dr-lindhammer.de,52.5319059,13.457254,"https://www.google.com/maps/search/?api=1&query=52.5319059,13.457254"
Dr. Antje Tothfalvy,,,,Berlin,+4930 4121701,praxis@tothfalvy.de,https://www.tothfalvy.de/,52.5674545,13.3149546,"https://www.google.com/maps/search/?api=1&query=52.5674545,13.3149546"
Dr. Barbara Poralla,,,,Berlin,+49 30 7440244,,,52.3861319,13.4052612,"https://www.google.com/maps/search/?api=1&query=52.3861319,13.4052612"
Dr. Beate Lengert,Kurfürstendamm,218,10719,Berlin,,,http://www.dr-beate-lengert.de/,52.5027217,13.3281367,"https://www.google.com/maps/search/?api=1&query=52.5027217,13.3281367"
Dr. Becker,Prinz-Eugen-Straße,10,,Berlin,,,,52.5482206,13.3643094,"https://www.google.com/maps/search/?api=1&query=52.5482206,13.3643094"
Dr. Bernhard Vaupel,,,,Berlin,+4930 4121793,,,52.5680297,13.3134972,"https://www.google.com/maps/search/?api=1&query=52.5680297,13.3134972"
Dr. Birgit Guizetti,Kurfürstendamm,139,10711,Berlin,,,,52.497561,13.2957136,"https://www.google.com/maps/search/?api=1&query=52.497561,13.2957136"
Dr. Bodo Seidel,Rohrdamm,26,13629,Berlin,+49 30 3828415,,https://www.za-seidel.de/,52.5375986,13.2646306,"https://www.google.com/maps/search/?api=1&query=52.5375986,13.2646306"
Dr. Brigitta Wilke,Hauptstraße,76 II,12159,Berlin,,,,52.4741715,13.3380692,"https://www.google.com/maps/search/?api=1&query=52.4741715,13.3380692"
Dr. C. Nauschütz & Dr. V. Roman,,,,Berlin,+493076503836,,,52.3941201,13.4120241,"https://www.google.com/maps/search/?api=1&query=52.3941201,13.4120241"
Dr. Caemmerer,Hohefeldstraße,41,13467,Berlin,,,https://www.dr-caemmerer.de/,52.6237077,13.3019855,"https://www.google.com/maps/search/?api=1&query=52.6237077,13.3019855"
Dr. Carmen Glier,Titiseestraße,3,13469,Berlin,+49304021035,,http://www.carmenglier.de/,52.6098172,13.3352661,"https://www.google.com/maps/search/?api=1&query=52.6098172,13.3352661"
Dr. Christian Scherret,Hagenstraße,52,10365,Berlin,,,,52.5132861,13.4992636,"https://www.google.com/maps/search/?api=1&query=52.5132861,13.4992636"
Dr. Christian W. Gerz,Groß-Ziethener Chaussee,14,12355,Berlin,+49 30 6645051,,https://www.doktor-gerz.de/,52.4151756,13.4946623,"https://www.google.com/maps/search/?api=1&query=52.4151756,13.4946623"
Dr. Claus-H. Gutsche,Rheinstraße,19,12161,Berlin,+49 30 8528039,,http://www.drgutsche.de/,52.4688561,13.3320871,"https://www.google.com/maps/search/?api=1&query=52.4688561,13.3320871"
